LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.0100
        2000071506  3328506      14.67     115.19  2
        2000071509  3585880      14.83     114.83  2
        2000071512  3548577      14.57     115.95  2
        2000071515  3603123      14.67     115.84  2
        2000071518  3664444      14.68     115.68  2
        2000071521  3826414      15.03     114.17  2
        2000071600  3900077      15.12     113.71  2
        2000071603  4250896      15.49     111.99  2
        2000071606  4868427      15.79     110.26  1
        2000071609  5465141      16.18     108.66  1
        2000071612  5628590      16.39     107.93  1
        2000071615  5730613      16.55     107.31  1
        2000071618  5788313      16.63     107.07  1
        2000071621  5802800      16.75     106.62  1
        2000071700  5863062      16.97     105.82  1
        2000071703  5982652      17.19     105.39  1
        2000071706  6057076      17.41     104.98  1
        2000071709  6146915      17.63     104.43  1
        2000071712  6095134      17.78     104.00  1
        2000071715  5991862      17.97     103.36  1
        2000071718  5821567      18.12     102.48  1
        2000071721  5726428      18.20     101.80  1
        2000071800  5711471      18.30     101.33  1
        2000071803  5610297      18.47     100.78  1
        2000071806  5544266      18.64     100.54  1
        2000071809  5460423      18.84     100.12  1
        2000071812  5323983      19.03      99.68  1
        2000071815  5327185      19.30      98.86  1
        2000071818  5186420      19.43      98.50  1
        2000071821  4979421      19.61      97.99  1
        2000071900  4712219      19.83      97.57  1
        2000071903  4464249      20.07      96.58  1
        2000071906  4161077      20.30      96.33  1
        2000071909  3895786      20.59      95.90  1
        2000071912  3478961      20.84      95.07  1
        2000071915  3021157      21.05      93.61  1
        2000071918  2093089      21.25      88.51  1
        2000071921  2020393      21.46      87.76  1
        2000072000  2007113      21.70      87.09  1
        2000072003  1898467      21.95      86.50  1
        2000072006  1786960      22.11      86.24  1
        2000072009  1700237      22.25      85.93  1
        2000072012  1610715      22.40      85.73  1
        2000072015  1391565      22.48      85.42  1
        2000072018  1068816      22.52      85.24  1
        2000072021   345720      21.52      92.57  1
        2000072100   295410      21.52      92.79  1
        2000072103   310616      21.46      92.69  1
        2000072106   416207      21.49      92.44  1
        2000072109   491906      21.41      92.60  1
        2000072112   429395      21.40      92.83  1
        2000072115   418924      21.29      92.98  1
        2000072118   441454      21.22      93.34  1
        2000072121   404198      21.15      93.63  1
        2000072200   389340      21.05      93.88  1
        2000072203   367995      20.94      93.98  1
        2000072206   456273      20.84      94.36  1
        2000072209   665389      20.88      95.08  1
        2000072212   892563      20.89      95.44  1
        2000072215   933474      20.91      95.40  1
        2000072218  1007636      21.03      95.46  1
        2000072221  1114480      21.09      95.48  1
        2000072300  1155929      21.13      95.35  1
        2000072303  1141813      21.10      95.28  1
        2000072306  1105975      21.08      95.20  1
        2000072309  1148766      21.04      95.39  1
        2000072312  1092056      21.11      95.31  1
        2000072315  1036327      21.15      95.22  1
        2000072318   968866      21.11      94.90  1
        2000072321   981301      21.19      94.56  1
        2000072400  1115870      21.18      94.32  1
        2000072403  1150822      21.12      94.18  1
        2000072406  1085755      21.06      94.21  1
        2000072409  1025661      21.00      94.38  1
        2000072412   915812      21.06      94.28  1
        2000072415   892943      21.04      94.24  1
        2000072418   832437      20.91      94.34  1
        2000072421   771844      20.92      94.03  1
        2000072500   783866      20.82      93.82  1
        2000072503   775685      20.87      93.61  1
        2000072506   763114      20.79      93.52  1
        2000072509   764741      20.75      93.37  1
        2000072512   683022      20.79      93.09  1
        2000072515   525106      20.96      92.71  1
        2000072518   474028      20.92      92.63  1
        2000072521   459241      20.80      92.57  1
        2000072600   468289      20.68      92.66  1
        2000072603   434585      20.59      92.80  1
        2000072606   385452      20.58      92.78  1
        2000072609   380272      20.63      92.74  1
        2000072612   294600      20.83      92.42  1
LPT     3.0200
        2000062118   431584      23.88      96.61  1
        2000062121   690805      23.59      97.44  1
        2000062200   669406      23.76      97.45  1
        2000062203   655402      24.16      96.91  1
        2000062206   742456      24.45      96.36  1
        2000062209  1462814      24.89     100.06  1
        2000062212  1530944      25.15      99.67  1
        2000062215   973802      25.07      94.82  1
        2000062218  1017103      25.33      94.35  1
        2000062221   996027      25.52      94.26  1
        2000062300   939600      25.78      93.54  1
        2000062303   938261      25.95      93.04  1
        2000062306  1006362      26.02      92.90  1
        2000062309  1089895      26.06      92.77  1
        2000062312   958310      26.21      92.27  1
        2000062315   999645      26.15      92.27  1
        2000062318   971054      26.09      92.28  1
        2000062321   799175      25.98      92.03  1
        2000062400   746111      25.80      92.05  1
        2000062403   711645      25.52      91.78  1
        2000062406   711117      25.25      91.63  1
        2000062409   744958      24.96      91.46  1
        2000062412   663317      24.78      91.27  1
        2000062415   573130      24.73      91.32  1
        2000062418   545378      24.50      91.39  1
        2000062421   471753      24.27      91.47  1
        2000062500   446648      24.00      91.57  1
        2000062503   394966      23.60      91.82  1
        2000062506   332254      23.21      91.99  1
        2000062509   335398      22.80      92.17  1
        2000062512   300719      22.38      92.32  1
        2000062515   290098      21.99      92.55  1
        2000062518   376955      21.35      92.79  1
        2000062521   444456      20.65      92.96  1
        2000062600   618963      19.99      93.13  1
        2000062603   744984      19.39      93.27  1
        2000062606   862292      18.81      93.26  1
        2000062609  1080579      18.35      93.20  1
        2000062612  1141058      18.06      93.01  1
        2000062615  1187263      17.73      92.92  1
        2000062618  1234225      17.30      92.90  1
        2000062621  1358190      16.83      92.90  1
        2000062700  1505841      16.21      92.86  1
        2000062703  1596128      15.40      92.60  1
        2000062706  2560751      10.82      89.83  1
        2000062709  2850031      10.43      89.75  1
        2000062712  3056417      10.07      89.52  1
        2000062715  2919756      10.60      89.99  1
        2000062718  2873063      11.23      90.60  1
        2000062721  3013613      10.99      90.47  1
        2000062800  3251726      10.87      90.28  1
        2000062803  3361883      10.61      90.20  1
        2000062806  3449418      10.35      90.07  1
        2000062809  3601390      10.40      90.14  1
        2000062812  3683502      10.32      90.19  1
        2000062815  3761598      10.05      90.21  1
        2000062818  3859291       9.66      90.23  1
        2000062821  3999088       9.10      90.27  1
        2000062900  4220742       8.58      90.33  1
        2000062903  4369227       8.13      90.41  1
        2000062906  4462065       7.84      90.42  1
        2000062909  4586647       7.57      90.35  1
        2000062912  4661512       7.27      90.17  1
        2000062915  4753146       7.10      90.01  1
        2000062918  4877461       7.06      89.84  1
        2000062921  5060253       6.79      90.15  1
        2000063000  5373327       6.71      90.30  1
        2000063003  5722696       6.72      90.49  1
        2000063006  5948529       6.60      90.75  1
        2000063009  5877245       6.38      91.20  1
        2000063012  5588603       6.23      91.13  1
        2000063015  3878898       2.77      96.59  1
        2000063018  3910774       2.75      96.92  1
        2000063021  4106490       2.96      97.35  1
        2000070100  4357161       3.25      97.70  1
        2000070103  4659174       3.69      97.69  1
        2000070106 11975375       3.84     121.93  1
        2000070109 12138810       4.19     120.50  1
        2000070112 11913231       4.37     119.92  1
        2000070115 11575479       4.63     119.10  1
        2000070118 11333761       4.93     117.89  1
        2000070121 10645804       5.67     114.82  1
        2000070200 10642574       5.74     114.69  1
        2000070203 10657131       5.86     114.90  1
